Latitude,Longitude,Segment
-111.11914055065,31.82808564492,0
-111.11910055065,31.82800564492,0
-111.11910055065,31.828045644920003,0
-111.11910055065,31.82808564492,0
-111.11917421394,31.827990759939993,0
-111.11917421394,31.828030759939995,0
-111.11917421394,31.828070759939994,0
-111.11913421394,31.827990759939993,0
-111.11913421394,31.828030759939995,0
-111.11913421394,31.828070759939994,0
-111.11909421394,31.827990759939993,0
-111.11909421394,31.828030759939995,0
-111.11909421394,31.828070759939994,0
-111.11916933159,31.82797872506,0
-111.11916933159,31.82801872506,0
-111.11916933159,31.82805872506,0
-111.11912933159,31.82797872506,0
-111.11912933159,31.82801872506,0
-111.11912933159,31.82805872506,0
-111.11908933159,31.82797872506,0
-111.11908933159,31.82801872506,0
-111.11908933159,31.82805872506,0
-111.11916598383,31.827970036820002,0
-111.11916598383,31.828010036820004,0
-111.11916598383,31.828050036820002,0
-111.11912598383,31.827970036820002,0
-111.11912598383,31.828010036820004,0
-111.11912598383,31.828050036820002,0
-111.11908598383,31.827970036820002,0
-111.11908598383,31.828010036820004,0
-111.11908598383,31.828050036820002,0
-111.11916026397,31.827957121849998,0
-111.11916026397,31.82799712185,0
-111.11916026397,31.82803712185,0
-111.11912026397,31.827957121849998,0
-111.11912026397,31.82799712185,0
-111.11912026397,31.82803712185,0
-111.11908026397,31.827957121849998,0
-111.11908026397,31.82799712185,0
-111.11908026397,31.82803712185,0
-111.11915698805001,31.82794867758,0
-111.11915698805001,31.827988677580002,0
-111.11915698805001,31.82802867758,0
-111.11911698805001,31.82794867758,0
-111.11911698805001,31.827988677580002,0
-111.11911698805001,31.82802867758,0
-111.11907698805001,31.82794867758,0
-111.11907698805001,31.827988677580002,0
-111.11907698805001,31.82802867758,0
-111.11915182882001,31.827935675929997,0
-111.11915182882001,31.82797567593,0
-111.11915182882001,31.828015675929997,0
-111.11911182882001,31.827935675929997,0
-111.11911182882001,31.82797567593,0
-111.11911182882001,31.828015675929997,0
-111.11907182882001,31.827935675929997,0
-111.11907182882001,31.82797567593,0
-111.11907182882001,31.828015675929997,0
-111.11914628877,31.827922735029997,0
-111.11914628877,31.82796273503,0
-111.11914628877,31.828002735029997,0
-111.11910628877,31.827922735029997,0
-111.11910628877,31.82796273503,0
-111.11910628877,31.828002735029997,0
-111.11906628877,31.827922735029997,0
-111.11906628877,31.82796273503,0
-111.11906628877,31.828002735029997,0
-111.11914298256,31.827914128229995,0
-111.11914298256,31.827954128229997,0
-111.11914298256,31.827994128229996,0
-111.11910298256001,31.827914128229995,0
-111.11910298256001,31.827954128229997,0
-111.11910298256001,31.827994128229996,0
-111.11906298256001,31.827914128229995,0
-111.11906298256001,31.827954128229997,0
-111.11906298256001,31.827994128229996,0
-111.11913779359,31.827900900920003,0
-111.11913779359,31.827940900920005,0
-111.11913779359,31.827980900920004,0
-111.11909779359,31.827900900920003,0
-111.11909779359,31.827940900920005,0
-111.11909779359,31.827980900920004,0
-111.11905779359,31.827900900920003,0
-111.11905779359,31.827940900920005,0
-111.11905779359,31.827980900920004,0
-111.11913432925,31.827892257050006,0
-111.11913432925,31.82793225705001,0
-111.11913432925,31.827972257050007,0
-111.11909432925,31.827892257050006,0
-111.11909432925,31.82793225705001,0
-111.11909432925,31.827972257050007,0
-111.11905432925,31.827892257050006,0
-111.11905432925,31.82793225705001,0
-111.11905432925,31.827972257050007,0
-111.11912902618,31.827878785509995,0
-111.11912902618,31.827918785509997,0
-111.11912902618,31.827958785509995,0
-111.11908902618,31.827878785509995,0
-111.11908902618,31.827918785509997,0
-111.11908902618,31.827958785509995,0
-111.11904902618001,31.827878785509995,0
-111.11904902618001,31.827918785509997,0
-111.11904902618001,31.827958785509995,0
-111.11912525823,31.82786982407,0
-111.11912525823,31.82790982407,0
-111.11912525823,31.82794982407,0
-111.11908525823,31.82786982407,0
-111.11908525823,31.82790982407,0
-111.11908525823,31.82794982407,0
-111.11904525823,31.82786982407,0
-111.11904525823,31.82790982407,0
-111.11904525823,31.82794982407,0
-111.11912004161,31.82785612760999,0
-111.11912004161,31.827896127609993,0
-111.11912004161,31.82793612760999,0
-111.11908004161,31.82785612760999,0
-111.11908004161,31.827896127609993,0
-111.11908004161,31.82793612760999,0
-111.11904004161,31.82785612760999,0
-111.11904004161,31.827896127609993,0
-111.11904004161,31.82793612760999,0
-111.1191150483,31.827842261180002,0
-111.1191150483,31.827882261180005,0
-111.1191150483,31.827922261180003,0
-111.1190750483,31.827842261180002,0
-111.1190750483,31.827882261180005,0
-111.1190750483,31.827922261180003,0
-111.1190350483,31.827842261180002,0
-111.1190350483,31.827882261180005,0
-111.1190350483,31.827922261180003,0
-111.11911119041,31.82783270393,0
-111.11911119041,31.82787270393,0
-111.11911119041,31.82791270393,0
-111.11907119041,31.82783270393,0
-111.11907119041,31.82787270393,0
-111.11907119041,31.82791270393,0
-111.11903119041,31.82783270393,0
-111.11903119041,31.82787270393,0
-111.11903119041,31.82791270393,0
-111.11910566266,31.8278183381,0
-111.11910566266,31.8278583381,0
-111.11910566266,31.8278983381,0
-111.11906566266,31.8278183381,0
-111.11906566266,31.8278583381,0
-111.11906566266,31.8278983381,0
-111.11902566266001,31.8278183381,0
